year,unitid,inst_name,state_name,inst_control,institution_level,hbcu,urban_centric_locale,rev_tuition_fees_gross,rev_total_current,exp_instruc_total,exp_total_current
2014,446914,ITT Technical Institute-Owings Mills,Maryland,Private for-profit,Four or more years,No,"Suburb, large",9420043,9398364,1329807,7103162
2014,462372,ITT Technical Institute-Hanover,Maryland,Private for-profit,Four or more years,No,"Suburb, large",6413640,6413640,624708,4522946
2014,476601,Bais HaMedrash and Mesivta of Baltimore,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",2212327,2045902,1095190,2079389
2014,482501,DeVry University-Maryland,Maryland,Private for-profit,Four or more years,No,"City, small",,,,
2013,161873,University of Baltimore,Maryland,Public,Four or more years,No,"City, large",64192004,107669704,43093910,109530728
2013,162007,Bowie State University,Maryland,Public,Four or more years,Yes,"Suburb, large",34767392,105742176,32570940,98429944
2013,162061,Capitol College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",12328746,16725948,3403850,15931699
2013,162210,Washington Adventist University,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",19449438,29150096,10755933,29765148
2013,162283,Coppin State University,Maryland,Public,Four or more years,Yes,"City, large",16007356,103165976,24286672,76693216
2013,162584,Frostburg State University,Maryland,Public,Four or more years,No,"Suburb, small",34351536,124495416,36107140,103348816
2013,162654,Goucher College,Maryland,Private not-for-profit,Four or more years,No,"City, small",58756000,95279000,26448846,69081000
2013,162681,Kaplan University-Hagerstown Campus,Maryland,Private for-profit,Four or more years,No,"Suburb, midsize",12609778,12150358,2986825,9320608
2013,162760,Hood College,Maryland,Private not-for-profit,Four or more years,No,"City, small",46747068,54723476,13701732,40687448
2013,162928,Johns Hopkins University,Maryland,Private not-for-profit,Four or more years,No,"City, large",757427008,5539675136,1643289000,4901326848
2013,163046,Loyola University Maryland,Maryland,Private not-for-profit,Four or more years,No,"City, large",195429632,233785952,62395124,191956384
2013,163204,University of Maryland-University College,Maryland,Public,Four or more years,No,"Suburb, large",287664640,359937312,105929390,362887200
2013,163259,University of Maryland-Baltimore,Maryland,Public,Four or more years,No,"City, large",119862168,1023893504,214672720,1013248576
2013,163268,University of Maryland-Baltimore County,Maryland,Public,Four or more years,No,"Suburb, large",116254888,422468384,112403496,372948096
2013,163286,University of Maryland-College Park,Maryland,Public,Four or more years,No,"Suburb, large",488545920,1694904192,493853220,1711660928
2013,163295,Maryland Institute College of Art,Maryland,Private not-for-profit,Four or more years,No,"City, large",86842944,89476048,29773442,77164912
2013,163338,University of Maryland Eastern Shore,Maryland,Public,Four or more years,Yes,"Town, fringe",29721896,121844920,36598876,109358728
2013,163453,Morgan State University,Maryland,Public,Four or more years,Yes,"City, large",55516844,223125248,63031850,203169408
2013,163462,Mount St Mary's University,Maryland,Private not-for-profit,Four or more years,No,"Town, fringe",63587680,69172360,20016424,64241996
2013,163532,Ner Israel Rabbinical College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",7074733,12545772,2510101,11278311
2013,163578,Notre Dame of Maryland University,Maryland,Private not-for-profit,Four or more years,No,"City, large",41049048,50851732,21396240,44783392
2013,163842,St Mary's Seminary & University,Maryland,Private not-for-profit,Four or more years,No,"City, large",,,,
2013,163851,Salisbury University,Maryland,Public,Four or more years,No,"Suburb, small",66465300,166488416,56661480,153065312
2013,163912,St Mary's College of Maryland,Maryland,Public,Four or more years,No,"Suburb, small",29522540,70973064,26059276,64974952
2013,163921,Sojourner-Douglass College,Maryland,Private not-for-profit,Four or more years,No,"City, large",22756912,25986902,5007854,28195404
2013,163976,St John's College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",21240476,35090816,9710012,28695624
2013,164076,Towson University,Maryland,Public,Four or more years,No,"City, small",173136128,401103648,117778184,370418336
2013,164085,Maryland University of Integrative Health,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",9566924,10707556,3636144,10338015
2013,164146,University System of Maryland,Maryland,Public,Four or more years,No,"Suburb, large",,51685856,,29827624
2013,164155,United States Naval Academy,Maryland,Public,Four or more years,No,"Suburb, large",,441753024,177271580,440916096
2013,164173,Stevenson University,Maryland,Private not-for-profit,Four or more years,No,"Rural, fringe",89753920,105365168,36151804,94769648
2013,164207,Washington Bible College-Capital Bible Seminary,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",,,,
2013,164216,Washington College,Maryland,Private not-for-profit,Four or more years,No,"Town, distant",58537604,88615536,21013988,63888796
2013,164270,McDaniel College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, small",68474000,74391000,23577000,62518000
2013,212452,Faith Theological Seminary,Maryland,Private not-for-profit,Four or more years,No,"City, large",1031132,1043867,80829,975111
2013,369817,Bethel Seminary of the East,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",391690,408221,241395,823525
2013,404480,University System of Maryland-Research Centers,Maryland,Public,Four or more years,No,"Suburb, large",,46081184,,45791080
2013,430184,Strayer University-Maryland,Maryland,Private for-profit,Four or more years,No,"Suburb, large",40831856,39981456,5298677,28384386
2013,434034,National Labor College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",,,,
2013,434937,Yeshiva College of the Nations Capital,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",391343,8288041,338804,8348748
2013,434973,University of Phoenix-Maryland Campus,Maryland,Private for-profit,Four or more years,No,"City, small",5052958,5127676,2194189,7256440
2013,439330,DeVry University-Maryland,Maryland,Private for-profit,Four or more years,No,"City, small",,,,
2013,446394,Maple Springs Baptist Bible College and Seminary,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",206201,303302,100769,354625
2013,446914,ITT Technical Institute-Owings Mills,Maryland,Private for-profit,Four or more years,No,"Suburb, large",12565216,12124305,1640215,8774275
2013,462080,DeVry University's Keller Graduate School of Management-Maryland,Maryland,Private for-profit,Four or more years,No,"City, small",,,,
2013,462372,ITT Technical Institute-Hanover,Maryland,Private for-profit,Four or more years,No,"Suburb, large",5642874,5602667,437695,3946792
2013,476601,Bais HaMedrash and Mesivta of Baltimore,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",1900657,1787566,910479,1872098
2013,482501,DeVry University-Maryland,Maryland,Private for-profit,Four or more years,No,"City, small",2066809,2005056,588753,1642791
2012,161873,University of Baltimore,Maryland,Public,Four or more years,No,"City, large",64717568,149149488,39555812,99627352
2012,162007,Bowie State University,Maryland,Public,Four or more years,Yes,"Suburb, large",32383720,96993232,31598676,90395624
2012,162061,Capitol College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",12574452,14989285,3426235,14019571
2012,162210,Washington Adventist University,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",22126124,31848732,11595870,31345832
2012,162283,Coppin State University,Maryland,Public,Four or more years,Yes,"City, large",15997942,82291432,24963768,76874864
2012,162584,Frostburg State University,Maryland,Public,Four or more years,No,"Suburb, small",33496208,122216440,34837216,98181480
2012,162654,Goucher College,Maryland,Private not-for-profit,Four or more years,No,"City, small",57493796,82565000,25615220,66567000
2012,162681,Kaplan University-Hagerstown Campus,Maryland,Private for-profit,Four or more years,No,"Suburb, midsize",12765782,12537037,3336834,9443954
2012,162760,Hood College,Maryland,Private not-for-profit,Four or more years,No,"City, small",47598968,49302448,15552851,41094088
2012,162928,Johns Hopkins University,Maryland,Private not-for-profit,Four or more years,No,"City, large",734928000,5087603200,1590599000,4698580992
2012,163046,Loyola University Maryland,Maryland,Private not-for-profit,Four or more years,No,"City, large",189855360,216696496,61153890,182464352
2012,163204,University of Maryland-University College,Maryland,Public,Four or more years,No,"Suburb, large",314526048,380115040,102305060,362534304
2012,163259,University of Maryland-Baltimore,Maryland,Public,Four or more years,No,"City, large",118983360,1017124928,212199460,991984768
2012,163268,University of Maryland-Baltimore County,Maryland,Public,Four or more years,No,"Suburb, large",111991576,437159232,109943790,354150720
2012,163286,University of Maryland-College Park,Maryland,Public,Four or more years,No,"Suburb, large",480479360,1698470400,464448400,1606590208
2012,163295,Maryland Institute College of Art,Maryland,Private not-for-profit,Four or more years,No,"City, large",84652840,90036248,29705424,74705800
2012,163338,University of Maryland Eastern Shore,Maryland,Public,Four or more years,Yes,"Town, fringe",31578524,113897960,38946120,110946680
